"Link","Abstract","Author Keywords","Index Keywords"
"https://www.scopus.com/pages/publications/85127301346?origin=resultslist","Smart grid systems play a vital role in resource management and distributions within a given supply chain. Vehicle-to-grid (V2G) technology is a perfect fit for real-world application as it provides a better and more efficient means for managing electric power. However, ensuring the security and privacy of this technology has become a significant concern, which is due to the difficulty in achieving security goals. In this paper, a lightweight Authentication and Key Agreement protocol named A2P that can ensure low energy consumption and rapid delivery from the source is proposed. Here, a lightweight XOR-based authentication scheme with an unpredictable pseudonym update phase is introduced. The pseudonym update phase is in such a fashion that no relationship amongst two updated pseudonyms can ever be derived even if sensitive information was compromised, thus enhancing privacy. The proposed A2P protocol can reduce the load on the grid and establish an expedited response system for future needs. To provide evidence for the real-time application of the proposal, we have presented a formal and informal analysis of our work. The formal analysis is achieved using Automated Validation Information Security Protocols and Applications (AVISPA), and simulation in the Real – or – Random Oracle (ROR) model, while an informal analysis via proving how our proposals can withstand malicious attacks namely DOS attack, replay attack, party corruption, etc. An extensive performance analysis proves that the proposed A2P system is 22.22% computationally efficient when compared to the related state–of–art methods. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","AVISPA; Key Agreement; Lightweight Authentication; Real – or – Random oracle model; Smart Grid; Social Internet of Things; Vehicle-to-grid (V2G)","Data privacy; Denial-of-service attack; Electric power transmission networks; Energy utilization; Internet of things; Network security; Supply chains; Vehicle-to-grid; Vehicles; Automated validation information security protocol and application; Key agreement; Lightweight authentication; Random Oracle model; Real – or – random oracle model; Security application; Security protocols; Smart grid; Social internet of thing; Vehicle to Grid (V2G); Vehicle-to-grid (V2G); Authentication"
"https://www.scopus.com/pages/publications/85135039997?origin=resultslist","Many autonomous Cyber-Physical Systems (e.g., devices for Internet of Things, Unmanned Autonomous Vehicles, medical devices, etc.) are mission-critical (i.e., errors result in loss of money) or safety-critical (i.e., errors result in damage or even death for humans). This motivates research on efficient formal verification methods for such Cyber-Physical Systems. Unfortunately, this is not an easy task, as verifying a Cyber-Physical System entails evaluating a huge number of scenarios (scenario explosion). Furthermore, a unified mathematical model for the (discrete) cyber part and the (continuous) physical part is currently not available. Such obstructions may be mitigated by using Statistical Model Checking, which uses statistical methods to sample the set of scenarios while basing on possibly black-box models of the System Under Verification. In this paper, we review 5 recent real-world and industry-relevant case studies from the literature that involved usage of Statistical Model Checking. Such case studies range on very different application areas, namely: i) intelligent services for peak shaving in smart grids, ii) In-Silico Clinical Trial for medical services, iii) applications for wireless sensor networks; iv) aircraft data networks; v) plug-in electric vehicles. This shows the maturity, feasibility and flexibility of Statistical Model Checking when applied to real-world case studies. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.","","Electric power transmission networks; Embedded systems; Formal verification; Model checking; Safety engineering; Smart power grids; Statistics; Wireless sensor networks; Case-studies; Cybe-physical systems; Cyber-physical systems; Effective analysis; Formal verification methods; Medical Devices; Mission critical; Real-world; Statistical model checking; Unmanned autonomous vehicles; Cyber Physical System"
"https://www.scopus.com/pages/publications/85137067057?origin=resultslist","This paper proposes a model-driven approach for the security modelling and analysis of blockchain based protocols. The modelling is built upon the definition of a UML profile, which is able to capture transaction-oriented information. The analysis is based on existing formal analysis tools. In particular, the paper considers the Tweetchain protocol, a recent proposal that leverages online social networks, i.e., Twitter, for extending blockchain to domains with small-value transactions, such as IoT. A specialized textual notation is added to the UML profile to capture features of this protocol. Furthermore, a model transformation is defined to generate a Tamarin model, from the UML models, via an intermediate well-known notation, i.e., the Alice &Bob notation. Finally, Tamarin Prover is used to verify the model of the protocol against some security properties. This work extends a previous one, where the Tamarin formal models were generated by hand. A comparison on the analysis results, both under the functional and non-functional aspects, is reported here too. © 2022, The Author(s).","Automatic model generation; Distributed ledger technology; Formal modelling; Formal verification; UML profile; Vulnerability discovery","Distributed ledger; Formal verification; Social networking (online); Unified Modeling Language; Automatic model generation; Automatic verification; Block-chain; Case-studies; Distributed ledg technology; Formal modeling; Model driven approach; Security analysis; UML profile; Vulnerability discovery; Blockchain"
"https://www.scopus.com/pages/publications/85054230322?origin=resultslist","The workshop on Developmental Aspects of Intelligent Adaptive systems is the second in this series held along with ISEC conference. In this workshop, we focus on adaptive, autonomous systems like Internet of Things (IoT), their requirements and new paradigms like learning and decision making. In particular, we look at the influence of these paradigms on the development life cycle of adaptive software, starting from requirements, design and architecture and also their verification and validation. © 2017 Copyright held by the owner/author(s).","Adaptive systems; Formal methods; Internet of things; Software for adaptive systems","Adaptive systems; Decision making; Formal methods; Internet of things; Life cycle; Adaptive software; Autonomous systems; Intelligent-adaptive systems; Internet of Things (IOT); Verification-and-validation; Verification"
"https://www.scopus.com/pages/publications/85059285171?origin=resultslist","Distributed systems, such as the Internet of Things (IoT) and cloud computing, are becoming popular. This requires modeling that reflects the natural characteristics of such systems: the locality of independent components, the autonomy of their decisions, and asynchronous communication. Automated verification of deadlocks and distributed termination supports rapid development. Existing techniques do not reflect some features of distribution. Most formalisms are synchronous and/or use some kind of global state, both of which are unrealistic. No model supports the communication duality that allows the integration of a remote procedure call and client-server paradigm into a single, uniform model. The majority of model checkers refer to total deadlocks. Usually, they do not distinguish between communication deadlocks from resource deadlocks and deadlocks from distributed termination. Some verification mechanisms check partial deadlocks at the expense of restricting the structure of the system being verified. The paper presents an original formalism for the modeling and verification of distributed systems. The Integrated Model of Distributed Systems (IMDS) defines a distributed system as two sets: states and messages, and the relationship of the “actions” between these sets. Communication duality provides projections on servers and on traveling agents, but the uniform specification of the verified system is preserved. General temporal formulas over IMDS, independent of the structure of the verified system, allow automated verification. These formulas distinguish between deadlocks and distributed termination, and between communication deadlocks and resource deadlocks. Partial deadlocks and partial termination can be checked. The Dedan tool was developed using IMDS formalism. © 2018 by the author. Licensee MDPI, Basel, Switzerland.","Asynchronous modeling; Distributed system modeling; Distributed systems; Formal methods; Model checking",""
"https://www.scopus.com/pages/publications/85158162531?origin=resultslist","IoT devices are more important than ever. In a connected world, IoT devices have many uses. They are no longer merely used at work; they are part of our everyday lives. Security concerns arise if the devices generate, collect, or process sensitive data. Physical layer security controls are the cornerstone once the risk for humans increases when physical security fails. To achieve security in IoT devices, preventing is better than detecting. Formal verification is an important and valuable tool for detecting possible vulnerabilities and ensuring data security. Thus, this paper proposes an Event-B proof-based formal model of IoT physical layer security and attacks from the requirements analysis level to the goal level. Our model is built incrementally using a refining method during design and verification. We present a three-level formal approach: first, the construction of the IoT physical layer; then, we check for IoT physical layer vulnerabilities by processing the lack of some characteristics that cause these vulnerabilities, such as speed, typical bandwidth, and power consumption; lastly, we detect physical layer attacks like jamming and MAC spoofing, which helps to build security proofs. Our approach uses an electrocardiogram (ECG) IoT system as a case study, and as an additional case study to back up the proposed method’s generalizability, we used a fire alarm system. Also, we use the proof obligations and the ProB animator in the Rodin model checking tool to check and validate our approach. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2023.","Attacks; Event-B; Formal model; Internet of Things (IoT); Physical layer security","Alarm systems; Electrocardiography; Formal verification; Model checking; Sensitive data; Attack; Case-studies; Event-B; Formal modeling; Internet of thing; Physical layer security; Physical layers; Physical security; Security controls; Sensitive datas; Internet of things"
"https://www.scopus.com/pages/publications/85182377899?origin=resultslist","Recent advancements in Internet of Things (IoT) have led to emergence of fascinating breakthroughs in diverse applications. Nowadays, the use cases of smart home systems are augmenting as they provide functionalities like real-time monitoring and high degree of remote control. Message queuing telemetry transport (MQTT) protocol is one of the most widely used messaging protocols in IoT-based applications including smart homes. This protocol lacks required security features owing to which, the intruders can launch variety of attacks easily. Stirred by this, we proposed a lightweight device authentication scheme for MQTT protocol. In this work, publisher/subscriber, and broker use lightweight cryptographic operations to enable device authentication. Also, this mechanism utilizes the lightweight cryptographic keys, such as one-time key (mathbf {mathrm {OT}}_{mathbf {mathrm {Key}}}) and Tokens ({T}_{i}) to complete registration and authentication process, respectively. Compared to other protocols, our approach reduces both communication and computation costs while maintaining the security demands. We put a prototype into practice to assess the performance of the proposed authentication mechanism. Further, we perform the formal analysis of the proposed authentication mechanism using automated validation of Internet security protocols and application protocol analyzer tool. The proposed security mechanism is resistant to various attacks, such as replay attack, device impersonate attack, malicious node attack, etc., and it enables the security features like device authentication and device anonymity in smart homes. © 2014 IEEE.","Cuckoo filters; device authentication; edge computing; Internet of Things (IoT); message queuing telemetry transport (MQTT); security; smart homes","Automation; Bandpass filters; Cryptography; Edge computing; Intelligent buildings; Internet of things; Network security; Real time systems; Remote control; Security systems; Cuckoo filter; Device authentications; Edge computing; Industrial internet of thing; IoT; MQTT; Security; Smart homes; Authentication"
"https://www.scopus.com/pages/publications/105003727032?origin=resultslist","The Internet of Things (IoT) refers to devices and applications that interact and connect the physical and digital worlds. Unfortunately, their interactions often lead to information leaks and safety issues. Controlling their autonomous behavior related to events and actions in their environment is therefore important. This is the key to uncovering conflicts between user-defined expectations. To control these conflicts, we propose to verify IoT information-flow according to the principles of model checking. We propose a model based on an abstraction of the information flow induced by device and application operations and interactions in an IoT network. More precisely, the model is independent of any functional and technical heterogeneity. This abstraction is the result of an information flow analysis carried out, a priori, for all the involved devices, as well as for all the applications controlling them. A transition system is constructed from these abstractions enabling us to transform the information flow control into reachability and safety properties verification. We express these properties using a modal logic inspired by Timed Computation Tree Logic (TCTL) (Baier and Katoen, 2008). We illustrate our approach with an example and adapt the language and the model to an existing model checker. Copyright © 2025 by SCITEPRESS - Science and Technology Publications, Lda.","Information Flow; Internet of Things; Model Checking; Reachability Property; Safety Property","Fuzzy logic; Digital world; Information flow control; Information flows; Models checking; Physical world; Property; Reachability; Reachability property; Safety issues; Safety property; Abstracting"
"https://www.scopus.com/pages/publications/85112293576?origin=resultslist","Pervasive Healthcare systems are breeding rapidly and distributed systems such as fog, cloud, and IoT have made it possible for these systems to scale extensively with a certain need to sustain interoperability, reliability, availability, and response time. Notwithstanding those remarkable efforts that have been conducted for the architecting of such systems, there is a certain obligation toward the design of an architecture for the domain to constitute the aforementioned requirements. Our goal in this paper is to present a software architecture for IoT-based healthcare systems to address the above-mentioned non-functional requirements that include best practices of IoT, Fog, and Cloud planes. The proposed architecture is illustrated with 4 + 1 views and graph transformation is used to transform the models and expressing operational semantics. The architecture tradeoff analysis method is applied to evaluate different scenarios and both formal verifications and trade-off analysis proved the eligibility and competence of the proposed architecture. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Formal verification; IoT; Pervasive healthcare; Reference model; Software architecture","Distributed database systems; Economic and social effects; Health care; Interoperability; Semantics; Software architecture; Architecture tradeoff analysis methods; Distributed systems; Graph Transformation; Health-care system; Non-functional requirements; Operational semantics; Pervasive healthcare systems; Proposed architectures; Internet of things"
"https://www.scopus.com/pages/publications/105032376613?origin=resultslist","The widespread adoption of Internet of Things (IoT) devices presents significant challenges in ensuring security and privacy due to their limited computational resources and increased exposure to network-based threats. This paper proposes a lightweight and secure messaging protocol tailored for IoT environments, inspired by the Kerberos authentication framework. While Kerberos is a well-established solution for authentication and access control in distributed systems, its protocol complexity and resource requirements render it unsuitable for direct application in IoT settings. The proposed protocol addresses these limitations by ensuring confidentiality, mutual authentication, and message integrity using symmetric encryption and a ticketbased access control mechanism adapted from Kerberos. Unlike earlier approaches that depend on intermediary proxies, our design eliminates the proxy and enables direct session key distribution between IoT devices and service providers through a centralized Kerberized Authentication Server (AS). A formal security analysis under the Dolev-Yao model using the AVISPA tool demonstrates the protocol's resistance to replay attacks, impersonation, and privacy breaches. The results underscore the practicality of adapting Kerberos for resource-constrained IoT environments while preserving strong security guarantees and maintaining low computational overhead.  © 2025 IEEE.","AVISPA; Formal Analysis; Internet of Things (IoT); Kerberos; Messaging Protocol; Privacy; Security","Authentication; Authentication Protocol; Cryptography; Distributed computer systems; Internet of things; Internet protocols; Network security; AVISPA; Computational resources; Formal analysis; Internet of thing; Kerberos; Messaging protocols; Network-based; Privacy; Security; Security and privacy; Data privacy"
